productNumber,productTitle,OrderCode,urlSegment,ImageName
4526,Solenoid coil,MSFG-12,GTIN: 4052568019044,4526_MSFG-12.jpg
4527,Solenoid coil,MSFG-24/42-50/60,GTIN: 4052568000646,4527_MSFG-24-42-50-60.jpg
4534,Solenoid coil,MSFW-24-50/60,GTIN: 4052568000653,4534_MSFW-24-50-60.jpg
4540,Solenoid coil,MSFW-230-50/60,GTIN: 4052568019051,4540_MSFW-230-50-60.jpg
6720,Solenoid coil,MSFW-110-50/60,GTIN: 4052568019884,6720_MSFW-110-50-60.jpg
8025330,Solenoid coil,VACS-C-C1-1,GTIN: 4052568279097,8025330_VACS-C-C1-1.jpg
8025334,Solenoid coil,VACS-C-C1-16B,GTIN: 4052568279110,8025334_VACS-C-C1-16B.jpg
8029144,Solenoid coil,VACN-N-A1-1,GTIN: 4052568280482,8029144_VACN-N-A1-1.jpg
123062,Solenoid coil,MSN1W-230AC-OD,GTIN: 4052568023539,123062_MSN1W-230AC-OD.jpg
123060,Solenoid coil,MSN1G-24DC-OD,GTIN: 4052568006280,123060_MSN1G-24DC-OD.jpg
536931,Solenoid coil,MSFG-24-EX,GTIN: 4052568049102,536931_MSFG-24-EX.jpg
539709,Plug socket,MSSD-C-M16,GTIN: 4052568050030,539709_MSSD-C-M16.jpg
33295,Plug socket,MSSD-V,GTIN: 4052568022983,33295_MSSD-V.jpg
539710,Plug socket,MSSD-F-M16,GTIN: 4052568050047,539710_MSSD-F-M16.jpg
8059805,Solenoid coil,VACF-B-K1-1-5-EX4-M,GTIN: 4052568290245,8059805_VACF-B-K1-1-5-EX4-M.jpg
8030802,Solenoid coil,VACF-B-B2-1,GTIN: 4052568280864,8030802_VACF-B-B2-1.jpg
8030808,Solenoid coil,VACF-B-B2-3W,GTIN: 4052568280918,8030808_VACF-B-B2-3W.jpg
8059805,Solenoid coil,VACF-B-K1-1-5-EX4-M,GTIN: 4052568290245,8059805_VACF-B-K1-1-5-EX4-M.jpg
34411,Solenoid coil,MSFG-24/42-50/60-OD,GTIN: 4052568007911,34411_MSFG-24-42-50-60-OD.jpg
34431,Plug socket,MSSD-F,GTIN: 4052568009793,34431_MSSD-F.jpg
34583,Plug socket,MSSD-C,GTIN: 4052568023102,34583_MSSD-C.jpg
151687,Plug socket,MSSD-EB,GTIN: 4052568010720,151687_MSSD-EB.jpg
3599,Solenoid coil,MSG-24DC,GTIN: 4052568064389,3599_MSG-24DC.jpg
577257,Solenoid valve,VSNC-FC-M52-MD-G14-F8,GTIN: 4052568104757,577257_VSNC-FC-M52-MD-G14-F8.jpg
535987,Solenoid valve,NVF3-MOH-5/2-K-1/4-EX,GTIN: 4052568170370,535987_NVF3-MOH-5-2-K-1-4-EX.jpg
7803,Pneumatic valve,VL/O-3-1/8-B,GTIN: 4052568001605,7803_VL-O-3-1-8-B.jpg
9764,Pneumatic valve,VL-5-1/8,GTIN: 4052568111571,9764_VL-5-1-8.jpg
7876,Solenoid valve,MOFH-3-1/4,GTIN: 4052568111137,7876_MOFH-3-1-4.jpg
7877,Solenoid valve,MOFH-3-1/8,GTIN: 4052568111144,7877_MOFH-3-1-8.jpg
9857,Solenoid valve,MFH-3-1/2,GTIN: 4052568002046,9857_MFH-3-1-2.jpg
