id,ParentCategory,subcategoryName,subcategoryId,products-list-subcategoryId.csv
1,Mobile Hydraulics,Pumps,unique_0126,products-list-d9be7be6-18e8-4272-b2ac-af8f006de433.csv
2,Mobile Hydraulics,Motors,unique_0080,products-list-85158733-e941-496e-99c9-af8f006de3f2.csv
3,Mobile Hydraulics,Valves,unique_0010,products-list-0d1b556a-df57-4543-9709-af8f006de478.csv
4,Mobile Hydraulics,Manifolds,unique_0009,products-list-0c813c9d-5184-46ee-ac23-af8f006de3c0.csv
5,Mobile Hydraulics,Engine Cooling Packages,unique_0049,products-list-4966bf53-7b3c-441a-b039-af8f006de39e.csv
6,Mobile Hydraulics,Mobile Electronics,unique_0095,products-list-9a4a1801-67a0-4bdc-9162-af8f006de3d0.csv
7,Mobile Hydraulics,Accumulators,unique_0118,products-list-c59fca19-980c-4cf0-b742-af8f006de338.csv
8,Mobile Hydraulics,Brakes & Clutches,unique_0054,products-list-4ef388f8-ddab-4af8-a402-af8f006de34c.csv
9,Mobile Hydraulics,Compressed Air Cooling,unique_0140,products-list-fc6493d0-f146-4827-9690-af8f006de35b.csv
10,Mobile Hydraulics,Creep Drive Systems,unique_0024,products-list-20985906-9fb3-46d7-93fe-af8f006de36e.csv
11,Mobile Hydraulics,Cylinders,unique_0078,products-list-822ac0c2-dace-4a78-986b-af8f006de37f.csv
12,Mobile Hydraulics,Dc Power Units,unique_0123,products-list-d04a4017-3c5a-4cfc-a651-af8f006de391.csv
13,Mobile Hydraulics,Hydraulic Oil Cooling,unique_0117,products-list-c0c2a399-0c7d-445f-9876-af8f006de3b2.csv
14,Mobile Hydraulics,Mobile Oil Coolers,unique_0134,products-list-e9dbe1bf-1ec4-4315-99c5-af8f006de3e3.csv
15,Mobile Hydraulics,Planetary Wheel Drives,unique_0129,products-list-e02df91d-95d0-4d39-95d0-af8f006de401.csv
16,Mobile Hydraulics,Ptos,unique_0063,products-list-5ce7d2eb-2dc8-41c1-a507-af8f006de414.csv
17,Mobile Hydraulics,Pump Drives,unique_0125,products-list-d35ff434-32f7-4b4f-9dba-af8f006de422.csv
18,Mobile Hydraulics,Reservoirs & Reservoir Accessories,unique_0033,products-list-34c9da2f-e6c9-4469-9395-af8f006de448.csv
19,Mobile Hydraulics,Seats & Cab Accessories,unique_0070,products-list-6c167613-33f5-4b1f-b14d-af8f006de456.csv
20,Mobile Hydraulics,Steering,unique_0127,products-list-d9cdf727-5db9-41aa-8e6e-af8f006de469.csv
21,Mobile Hydraulics,Winches,unique_0059,products-list-52e4e500-b6a0-4f3d-bdbc-af8f006de48b.csv
22,Industrial Hydraulics,Pumps,unique_0007,products-list-0b601b67-b1e8-4270-be4a-af8f006de2d9.csv
23,Industrial Hydraulics,Motors,unique_0036,products-list-37959588-a98e-4ec5-b643-af8f006de2b6.csv
24,Industrial Hydraulics,Valves,unique_0050,products-list-4b9231ba-c12b-4005-9806-af8f006de32a.csv
25,Industrial Hydraulics,"Actuators, Cylinders & Cylinder Accessories",unique_0025,products-list-219c56e8-e1b2-471f-a5a4-af8f006de1e0.csv
26,Industrial Hydraulics,Hydraulic Oil Cooling,unique_0115,products-list-ba6ab7cc-63b7-42db-8f53-af8f006de260.csv
27,Industrial Hydraulics,Power Units,unique_0037,products-list-37c9bd44-57a4-433c-a20c-af8f006de2c6.csv
28,Industrial Hydraulics,Accumulators,unique_0031,products-list-3079540e-7332-41e8-b0b5-af8f006de1d0.csv
29,Industrial Hydraulics,Brakes And Clutches,unique_0089,products-list-8fceaeda-aacd-48ca-b275-af8f006de1ed.csv
30,Industrial Hydraulics,Cartridge Kits,unique_0026,products-list-25d56c95-fac0-4ded-bac3-af8f006de200.csv
31,Industrial Hydraulics,Clamps,unique_0107,products-list-b2957501-4490-4461-9153-af8f006de212.csv
32,Industrial Hydraulics,"Clamps, Clips, Screws & Pins",unique_0138,products-list-f7945341-55f9-4df4-aced-af8f006de221.csv
33,Industrial Hydraulics,Compressed Air Cooling,unique_0132,products-list-e7f8d8b8-8f1b-4c1b-a0ce-af8f006de22f.csv
34,Industrial Hydraulics,Filter Carts,unique_0008,products-list-0bc07a41-72ff-4b20-afb0-af8f006de23d.csv
35,Industrial Hydraulics,"Gauges, Pressure Sensors, Level Sensors & Temperature Sensors",unique_0065,products-list-6325ceac-ea2a-400c-b89c-af8f006de252.csv
36,Industrial Hydraulics,Industrial Coolers,unique_0137,products-list-f5dff2cd-d6ac-47e2-93f4-af8f006de273.csv
37,Industrial Hydraulics,Industrial Cylinders,unique_0014,products-list-1048bf01-2865-4e3d-8375-af8f006de283.csv
38,Industrial Hydraulics,Industrial Filtration,unique_0142,products-list-fe7fd148-fb3c-49a7-9f57-af8f006de291.csv
39,Industrial Hydraulics,Industrial Hydraulic Accessories,unique_0043,products-list-3fabe3d2-ec23-4d3b-b6cb-af8f006de2a8.csv
40,Industrial Hydraulics,Quick Disconnect,unique_0083,products-list-8776a7f3-e367-4e0d-9597-af8f006de2e7.csv
41,Industrial Hydraulics,Reservoirs & Reservoir Accessories,unique_0097,products-list-a2f4b758-44cd-49fd-a189-af8f006de2fc.csv
42,Industrial Hydraulics,"Seal Kits, Sealants & Gaskets",unique_0052,products-list-4c5b8251-5f4a-4431-ace6-af8f006de30f.csv
43,Industrial Hydraulics,Value Added Kits,unique_0002,products-list-01a9694a-7a77-409a-96c6-af8f006de31d.csv
44,Pneumatics,Valves,unique_0028,products-list-27cd74bd-f9db-4ed4-9a87-af8f006dd066.csv
45,Pneumatics,Valve Manifolds,unique_0035,products-list-35dca3e0-99f8-4a5d-9a03-af8f006dd057.csv
46,Pneumatics,"Actuators, Cylinders & Grippers",unique_0082,products-list-86519a3f-08fe-4bb3-8372-af8f006dcf74.csv
47,Pneumatics,Air Prep,unique_0110,products-list-b491dec0-0454-4515-b9ec-af8f006dcf83.csv
48,Pneumatics,Vacuum & Vacuum Components,unique_0013,products-list-0fc70764-a057-4647-97ae-af8f006dd046.csv
49,Pneumatics,Fittings,unique_0109,products-list-b3d551a6-df03-4adf-b0d1-af8f006dcfa8.csv
50,Pneumatics,Boosters,unique_0136,products-list-f52bb536-81d6-42a1-8ed9-af8f006dcf98.csv
51,Pneumatics,Flow Control,unique_0017,products-list-135c195f-cb00-4e31-be88-af8f006dcfbb.csv
52,Pneumatics,Pneumatic Accessories,unique_0062,products-list-5bba613f-8a59-4e08-868e-af8f006dcfca.csv
53,Pneumatics,Pressure Switches,unique_0042,products-list-3f8f2104-2668-46b2-a54e-af8f006dcfdd.csv
54,Pneumatics,Pumps,unique_0016,products-list-12f4a436-5147-4cc1-ac36-af8f006dcfeb.csv
55,Pneumatics,Service Kits,unique_0122,products-list-cde93af5-b13b-4075-98d7-af8f006dcffe.csv
56,Pneumatics,Suspension & Air Springs,unique_0039,products-list-39e3e273-1d83-406f-9956-af8f006dd00d.csv
